at0_1pct,a1w_1pct,a2w_1pct,a3w_1pct
0.230149459,0.061707471,0.060962988,0.125655088
0.283129431,0.015560179,0.017424413,-0.026141753
0.176343917,-0.010223603,-0.033542381,-0.00841077
0.183955806,-0.01556036,-0.015912113,-0.088128125
0.183070988,0.027294156,-0.022806149,-0.083631803
0.299825186,0.013619719,-0.062100981,-0.018255604
0.12681963,-0.005349172,-0.011441831,0.050709015
0.14599698,-0.008817699,0.004711671,0.009901606
0.263177047,0.011817821,0.054128778,-0.079624202
0.218064006,0.007665072,-0.153840928,-0.162516961
0.25472742,-0.121907417,-0.136452874,-0.301493067
0.102232087,-0.033451752,-0.141757109,-0.231423558
0.234910441,-0.083917873,-0.220018733,-0.14213869
0.215272242,-0.184232444,-0.055812532,-0.131640789
0.481258885,-0.087856426,-0.08624309,-0.033967982
0.790955952,-0.231484535,0.050986085,0.065184267
0.279754933,0.153286574,0.17688875,0.297517554
1.27818833,-0.056432944,-0.115031105,0.004309541
0.426950731,0.093389367,0.129972368,0.165879802
0.517962422,0.148125098,0.175338518,0.073454658
0.500366739,-0.008659473,-0.135639548,-0.004135234
0.452876984,-0.035326118,0.124771116,0.161879075
0.214945331,0.150231782,0.214569391,0.397724753
0.458930307,0.074096193,0.437586476,0.282706728
0.316135557,0.311154873,0.176169456,0.148281297
0.861833698,-0.108220412,-0.179039349,-0.272326028
0.25042634,-0.001572641,-0.062011599,-0.042438546
0.270345119,0.037063441,0.075079502,0.174784824
0.255631142,0.071188295,0.057002,0.037070855
0.277273803,0.11130338,0.114047591,0.114212266
0.353564781,-0.03920627,-0.043746975,0.047874187
0.300275266,0.015378604,0.007947875,0.057370171
0.319650361,0.053361067,0.156925469,0.144487789
0.801801866,0.029408677,-0.025361045,-0.005864793
0.411102068,0.018387755,-0.024452749,-0.03469522
0.307309972,-0.050033687,0.017456565,0.002318415
0.212694999,0.002883239,-0.020658472,-0.034214565
0.25482741,-0.012749835,-0.083460802,-0.062394052
0.229376503,-0.026595449,0.049535338,-0.058785316
0.167773481,0.067236675,0.00570137,0.058416893
0.448248916,-0.119191503,-0.078569132,0.02915493
0.146386051,0.07307881,0.194326559,0.213680216
0.292766111,0.118928738,0.173986297,0.21751117
0.371488523,0.012165232,0.084001395,-0.058294344
0.202983977,0.032589035,-0.025532275,0.040250371
0.282240606,-0.105293959,-0.082326279,0.026868593
0.138794084,0.057119123,0.108900365,0.17702503
0.451811497,0.086812973,0.18662131,0.300017046
0.491189334,0.089284845,0.154371957,0.193803452
0.440898413,0.163305549,0.22425887,0.239121559
0.41717386,-0.051269144,0.027741043,0.011187667
0.340862941,-0.038336206,-0.005827609,0.011828342
0.354552768,0.009705492,-0.011871967,-0.014061982
0.330286972,-0.002299923,0.000472222,0.15018792
0.278198312,0.038764151,0.151031443,0.247802528
0.2645725,0.127442777,0.208198055,0.264479511
0.412116566,0.044816071,0.08735408,0.034747641
0.340885206,0.073553552,0.398519733,0.141078264
0.365382781,0.437882111,0.142082847,0.116807576
0.714246173,-0.063813011,0.044772494,0.085506074
0.428605482,0.07227261,0.061341073,-0.049986456
0.37540142,0.023774133,-0.096106756,-0.088156937
0.231961863,-0.084140585,-0.077490919,-0.005273582
0.309940878,0.111939186,0.199872688,0.113728234
0.308503849,0.070579227,-0.008257724,-0.042080146
0.472468164,0.027114206,-0.088266367,-0.077152966
0.279638489,-0.13621716,-0.116830349,-0.127219179
0.135103254,-0.028229666,-0.046446105,-0.037625427
0.172387207,-0.02442679,-0.037269639,-0.045374769
0.177125162,0.024407366,0.013183842,-0.013880936
0.183241363,0.002475492,-0.031450063,0.068038384
0.181628116,0.018384535,-0.002397365,-0.019803357
0.222952784,0.043268516,0.027567443,0.049478522
0.32012428,-0.000979739,-0.001659267,0.020506996
0.232777214,0.021046052,0.157887144,0.30079771
0.206399737,0.055787637,0.094656054,0.155340522
0.319825106,0.073242289,0.138691796,0.084938261
0.272999553,0.012885396,-0.038810089,0.024071526
0.243959869,-0.049083271,0.022034578,-0.051477147
0.152636304,0.026513147,0.006686884,-0.001686063
0.310111943,-0.074370206,-0.102797733,-0.219381381
0.164652275,-0.001600935,-0.067846317,-0.064365295
0.133119095,-0.062320653,-0.054810713,-0.062779935
0.089677525,-0.007371831,-0.021865283,-0.01279993
0.191542577,0.011514367,-0.005168019,0.00908255
0.165991403,0.010845807,0.030342263,-0.025306596
0.207766537,-0.007622346,-0.035582538,0.00908015
0.178885049,-0.052578392,0.009673306,0.052614608
0.100843401,0.05487555,0.078156816,0.03829406
0.276564701,0.024726206,0.006969423,0.006400253
0.216748246,0.002768911,-0.024983373,-0.013147899
0.131866644,-0.012604198,-0.002745648,0.042723683
0.192340964,0.057946508,0.099559186,0.063192957
0.188341722,0.029192218,0.044621807,0.051170982
0.236541768,0.007072828,-0.004079451,-0.002022071
0.222807531,0.003719603,-0.003544047,-0.047539605
0.182814135,-0.001778003,-0.008047927,0.01220552
0.176239559,-0.018854351,-0.004562118,-0.008879703
0.217963592,0.013621152,0.012070125,-0.040543308
0.342755545,-0.022915822,-0.062158476,-0.096304381
0.218229705,-0.078259537,-0.120090823,-0.211254534
0.118526571,-0.044603896,-0.104300668,-0.085040208
0.128019668,-0.036667976,-0.025666407,-0.0732572
0.106668132,0.0356675,-0.004447229,0.025420655
0.225885046,-0.0813492,-0.066061743,-0.078214742
0.162489401,-0.001828366,-0.024857753,-0.043680234
0.158957518,0.011495237,0.016998592,0.043807061
0.202583614,-0.020200962,-0.05761817,-0.147438644
0.230322436,0.051725972,-0.028564043,0.002165323
0.186274693,-0.09309282,-0.109791396,-0.064607189
0.09986646,-0.051538814,0.008715023,0.024415125
0.21174158,0.028936637,0.062432672,0.035079468
0.237609633,0.020918392,-0.022764317,-0.01114548
0.2756013,-0.021566869,-0.032944494,-0.003524282
0.217835978,0.020243715,0.016108226,0.029731145
0.292989397,0.005813492,-0.023678493,0.013074109
0.31674708,0.040946448,-0.01614259,0.062313339
0.264008667,-0.063304126,0.037325904,0.06522956
0.418465604,-0.017648972,-0.000808156,-0.044969872
0.32254798,0.021126415,0.047212399,0.087783322
0.22467701,-0.054427711,-0.04901454,-0.095012095
0.186893741,-0.007176345,-0.040344859,-0.052173285
0.193659879,-0.055977677,-0.062047405,-0.016438063
0.114095754,-0.03268822,-0.017912605,-0.063455165
0.192284404,-0.018541153,-0.068856624,-0.034296611
0.257783777,-0.061283853,-0.043037393,0.060126578
0.197708782,-0.015636008,0.047840796,0.055930513
0.231103504,0.018817799,0.0493279,
0.327588769,0.049824431,,
0.248681913,,,
